# N2 cross sections
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation photoionisation
2.410000e+01 9.548000e-18 0.000000e+00 9.548000e-18
2.420000e+01 9.608000e-18 0.000000e+00 9.608000e-18
2.430000e+01 9.668000e-18 0.000000e+00 9.668000e-18
2.440000e+01 9.728000e-18 0.000000e+00 9.728000e-18
2.450000e+01 9.788000e-18 0.000000e+00 9.788000e-18
2.460000e+01 9.835200e-18 0.000000e+00 9.835200e-18
2.470000e+01 9.879200e-18 0.000000e+00 9.879200e-18
2.480000e+01 9.923200e-18 0.000000e+00 9.923200e-18
2.490000e+01 9.967200e-18 0.000000e+00 9.967200e-18
2.500000e+01 1.001120e-17 0.000000e+00 1.001120e-17
2.510000e+01 1.004560e-17 0.000000e+00 1.004560e-17
2.520000e+01 1.007760e-17 0.000000e+00 1.007760e-17
2.530000e+01 1.010960e-17 0.000000e+00 1.010960e-17
2.540000e+01 1.014160e-17 0.000000e+00 1.014160e-17
2.550000e+01 1.017360e-17 0.000000e+00 1.017360e-17
2.560000e+01 1.019600e-17 0.000000e+00 1.019600e-17
2.570000e+01 1.021600e-17 0.000000e+00 1.021600e-17
2.580000e+01 1.023600e-17 0.000000e+00 1.023600e-17
2.590000e+01 1.025600e-17 0.000000e+00 1.025600e-17
2.600000e+01 1.027600e-17 0.000000e+00 1.027600e-17
2.610000e+01 1.029920e-17 0.000000e+00 1.029920e-17
2.620000e+01 1.032320e-17 0.000000e+00 1.032320e-17
2.630000e+01 1.034720e-17 0.000000e+00 1.034720e-17
2.640000e+01 1.037120e-17 0.000000e+00 1.037120e-17
2.650000e+01 1.039520e-17 0.000000e+00 1.039520e-17
2.660000e+01 1.041600e-17 0.000000e+00 1.041600e-17
2.670000e+01 1.043600e-17 0.000000e+00 1.043600e-17
2.680000e+01 1.045600e-17 0.000000e+00 1.045600e-17
2.690000e+01 1.047600e-17 0.000000e+00 1.047600e-17
2.700000e+01 1.049600e-17 0.000000e+00 1.049600e-17
2.710000e+01 1.051760e-17 0.000000e+00 1.051760e-17
2.720000e+01 1.053960e-17 0.000000e+00 1.053960e-17
2.730000e+01 1.056160e-17 0.000000e+00 1.056160e-17
2.740000e+01 1.058360e-17 0.000000e+00 1.058360e-17
2.750000e+01 1.060560e-17 0.000000e+00 1.060560e-17
2.760000e+01 1.063720e-17 0.000000e+00 1.063720e-17
2.770000e+01 1.067120e-17 0.000000e+00 1.067120e-17
2.780000e+01 1.070520e-17 0.000000e+00 1.070520e-17
2.790000e+01 1.073920e-17 0.000000e+00 1.073920e-17
2.800000e+01 1.077320e-17 0.000000e+00 1.077320e-17
2.810000e+01 1.080240e-17 0.000000e+00 1.080240e-17
2.820000e+01 1.083040e-17 0.000000e+00 1.083040e-17
2.830000e+01 1.085840e-17 0.000000e+00 1.085840e-17
2.840000e+01 1.088640e-17 0.000000e+00 1.088640e-17
2.850000e+01 1.091440e-17 0.000000e+00 1.091440e-17
